product_barcode,product_name,replacement_rank,replacement_barcode,replacement_name,replacement_reason,price_difference,replacement_score
8906000000025,Tropicana Juices Value Pack 1L,1,8906000000321,B Natural Juices Jumbo 1L,Same subcategory,1.57,86.843
8906000000025,Tropicana Juices Value Pack 1L,2,8906000000092,Real Juices Value Pack 200ml,Same subcategory,-11.16,77.884
8906000000025,Tropicana Juices Value Pack 1L,3,8906000000258,Real Juices Regular 200ml,Same subcategory,-28.83,68.117
8906000000026,Duracell Batteries Regular 4pc,1,8906000000240,Eveready Batteries Original 4pc,Same subcategory,-3.31,86.669
8906000000026,Duracell Batteries Regular 4pc,2,8906000000326,Eveready Batteries Jumbo 2pc,Same subcategory,10.09,77.991
8906000000026,Duracell Batteries Regular 4pc,3,8906000000058,Eveready Batteries Premium 4pc,Same subcategory,22.44,68.756
8906000000027,Mother Dairy Curd Jumbo 1kg,1,8906000000462,Gowardhan Curd Mini 1kg,Same subcategory,50.34,81.966
8906000000027,Mother Dairy Curd Jumbo 1kg,2,8906000000057,Amul Curd Regular 400g,Same subcategory,71.1,71.89
8906000000027,Mother Dairy Curd Jumbo 1kg,3,8906000000351,Amul Curd Classic 1kg,Same subcategory,91.6,61.84
8906000000028,Garnier Hair Color Mini 1pc,1,8906000000009,Godrej Hair Color Premium 1pc,Same subcategory,72.29,79.771
8906000000028,Garnier Hair Color Mini 1pc,2,8906000000318,Garnier Hair Color Value Pack 1pc,Same subcategory,147.65,64.235
8906000000028,Garnier Hair Color Mini 1pc,3,8906000000455,L'Oreal Hair Color Value Pack 1pc,Same subcategory,193.25,55
8906000000029,MTR Instant Mix Value Pack 200g,1,8906000000490,Gits Instant Mix Lite 500g,Same subcategory,5.8,86.42
8906000000029,MTR Instant Mix Value Pack 200g,2,8906000000082,Gits Instant Mix Mini 200g,Same subcategory,-11.0,77.9
8906000000029,MTR Instant Mix Value Pack 200g,3,8906000000254,MTR Instant Mix Jumbo 500g,Same subcategory,-170.0,55
8906000000030,Nescafe Coffee Value Pack 50g,1,8906000000020,Continental Coffee Lite 100g,Same subcategory,18.82,85.118
8906000000030,Nescafe Coffee Value Pack 50g,2,8906000000296,Nescafe Coffee Fresh 50g,Same subcategory,20.6,76.94
8906000000030,Nescafe Coffee Value Pack 50g,3,8906000000419,Nescafe Coffee Mini 50g,Same subcategory,123.2,58.68
8906000000031,Harpic Toilet Cleaner Classic 500ml,1,8906000000316,Harpic Toilet Cleaner Value Pack 1L,Same subcategory,-8.9,86.11
8906000000031,Harpic Toilet Cleaner Classic 500ml,2,8906000000052,Harpic Toilet Cleaner Original 1L,Same subcategory,-34.75,75.525
8906000000031,Harpic Toilet Cleaner Classic 500ml,3,8906000000390,Sanifresh Toilet Cleaner Jumbo 1L,Same subcategory,35.45,67.455
8906000000032,Pears Body Wash Regular 500ml,1,8906000000428,Dove Body Wash Mini 250ml,Same subcategory,26.43,84.357
8906000000032,Pears Body Wash Regular 500ml,2,8906000000295,Nivea Body Wash Lite 500ml,Same subcategory,56.1,73.39
8906000000032,Pears Body Wash Regular 500ml,3,8906000000111,Nivea Body Wash Original 250ml,Same subcategory,-67.66,64.234
8906000000033,Sunrich Edible Oil Jumbo 5L,1,8906000000476,Dhara Edible Oil Mini 1L,Same subcategory,-18.7,85.13
8906000000033,Sunrich Edible Oil Jumbo 5L,2,8906000000476,Dhara Edible Oil Mini 1L,Same subcategory,-18.7,77.13
8906000000033,Sunrich Edible Oil Jumbo 5L,3,8906000000182,Gowardhan Ghee Mini 500ml,Same category fallback,42.9,66.71
8906000000034,Dove Shampoo Regular 650ml,1,8906000000385,Dove Shampoo Lite 650ml,Same subcategory,29.55,84.045
8906000000034,Dove Shampoo Regular 650ml,2,8906000000123,Head & Shoulders Shampoo Regular 650ml,Same subcategory,-45.15,74.485
8906000000034,Dove Shampoo Regular 650ml,3,8906000000400,Pantene Shampoo Regular 80ml,Same subcategory,77.1,63.29
8906000000035,Fortune Dal Fresh 1kg,1,8906000000299,Fortune Dal Mini 500g,Same subcategory,6.65,86.335
8906000000035,Fortune Dal Fresh 1kg,2,8906000000464,24 Mantra Dal Jumbo 1kg,Same subcategory,-15.75,77.425
8906000000035,Fortune Dal Fresh 1kg,3,8906000000469,24 Mantra Dal Value Pack 500g,Same subcategory,22.09,68.791
8906000000036,Amul Cheese Family Pack 400g,1,8906000000165,Go Cheese Classic 200g,Same subcategory,-4.9,86.51
8906000000036,Amul Cheese Family Pack 400g,2,8906000000416,Amul Cheese Premium 200g,Same subcategory,14.9,77.51
8906000000036,Amul Cheese Family Pack 400g,3,8906000000173,Go Cheese Value Pack 200g,Same subcategory,-47.1,66.29
8906000000037,Sofy Sanitary Care Regular 30pc,1,8906000000152,Whisper Sanitary Care Original 30pc,Same subcategory,13.0,85.7
8906000000037,Sofy Sanitary Care Regular 30pc,2,8906000000436,Sofy Sanitary Care Family Pack 30pc,Same subcategory,31.25,75.875
8906000000037,Sofy Sanitary Care Regular 30pc,3,8906000000179,Stayfree Sanitary Care Family Pack 30pc,Same subcategory,-39.88,67.012
8906000000038,Orbit Mints Original 10pc,1,8906000000352,Parle Small Snacks Family Pack 50g,Same category fallback,8.12,86.188
8906000000038,Orbit Mints Original 10pc,2,8906000000429,Eveready Batteries Original 4pc,Same category fallback,-14.4,77.56
8906000000038,Orbit Mints Original 10pc,3,8906000000283,Eveready Batteries Lite 2pc,Same category fallback,-21.64,68.836
8906000000039,Camlin Stationery Original 10pc,1,8906000000272,Classmate Stationery Regular 1pc,Same subcategory,4.4,86.56
8906000000039,Camlin Stationery Original 10pc,2,8906000000137,Nataraj Stationery Original 10pc,Same subcategory,11.15,77.885
8906000000039,Camlin Stationery Original 10pc,3,8906000000456,Nataraj Stationery Value Pack 10pc,Same subcategory,68.7,64.13
8906000000040,Methi 1 bunch,1,8906000000224,Mint 1 bunch,Same subcategory,9.35,86.065
8906000000040,Methi 1 bunch,2,8906000000024,Spring Onion 1 bunch,Same subcategory,12.6,77.74
8906000000040,Methi 1 bunch,3,8906000000267,Spring Onion 1 bunch,Same subcategory,19.55,69.045
8906000000041,Pantene Conditioner Jumbo 80ml,1,8906000000347,Dove Conditioner Value Pack 175ml,Same subcategory,-27.5,84.25
8906000000041,Pantene Conditioner Jumbo 80ml,2,8906000000139,Dove Conditioner Original 340ml,Same subcategory,-32.0,75.8
8906000000041,Pantene Conditioner Jumbo 80ml,3,8906000000378,L'Oreal Conditioner Jumbo 175ml,Same subcategory,-35.9,67.41
8906000000042,Rajdhani Suji Jumbo 1kg,1,8906000000239,Rajdhani Suji Premium 500g,Same subcategory,-2.2,86.78
8906000000042,Rajdhani Suji Jumbo 1kg,2,8906000000409,Local Mill Suji Value Pack 500g,Same subcategory,-3.95,78.605
8906000000042,Rajdhani Suji Jumbo 1kg,3,8906000000309,Rajdhani Suji Fresh 1kg,Same subcategory,-29.95,68.005
8906000000043,Sunfeast Dark Fantasy Cookies Lite 120g,1,8906000000011,Sunfeast Dark Fantasy Cookies Original 75g,Same subcategory,4.5,86.55
8906000000043,Sunfeast Dark Fantasy Cookies Lite 120g,2,8906000000189,Unibic Cookies Classic 75g,Same subcategory,-11.35,77.865
8906000000043,Sunfeast Dark Fantasy Cookies Lite 120g,3,8906000000439,Unibic Cookies Premium 75g,Same subcategory,-44.33,66.56700000000001
8906000000044,Apple 1kg,1,8906000000248,Watermelon 1kg,Same subcategory,39.9,83.01
8906000000044,Apple 1kg,2,8906000000087,Pomegranate 1kg,Same subcategory,-48.61,74.139
8906000000044,Apple 1kg,3,8906000000012,Pomegranate 1kg,Same subcategory,-65.36,64.464
8906000000045,Ching's Sauces Fresh 500g,1,8906000000495,Everest Masala Fresh 50g,Same category fallback,0.0,87.0
8906000000045,Ching's Sauces Fresh 500g,2,8906000000287,Everest Masala Lite 50g,Same category fallback,2.82,78.718
8906000000045,Ching's Sauces Fresh 500g,3,8906000000187,Nilon's Pickles Original 1kg,Same category fallback,-16.7,69.33
8906000000046,Godrej Yummiez Frozen Snacks Jumbo 1kg,1,8906000000176,ITC Master Chef Frozen Snacks Original 1kg,Same subcategory,-1.03,86.897
8906000000046,Godrej Yummiez Frozen Snacks Jumbo 1kg,2,8906000000237,ITC Master Chef Frozen Snacks Original 400g,Same subcategory,-5.03,78.497
8906000000046,Godrej Yummiez Frozen Snacks Jumbo 1kg,3,8906000000022,McCain Frozen Snacks Jumbo 400g,Same subcategory,11.97,69.803
8906000000047,Farm Fresh Eggs Lite 6pc,1,8906000000059,Farm Fresh Eggs Fresh 12pc,Same subcategory,0.9,86.91
8906000000047,Farm Fresh Eggs Lite 6pc,2,8906000000485,Suguna Eggs Classic 12pc,Same subcategory,12.35,77.765
8906000000047,Farm Fresh Eggs Lite 6pc,3,8906000000356,Local Farm Eggs Lite 12pc,Same subcategory,29.0,68.1
8906000000048,Kissan Jam Lite 200g,1,8906000000050,Tops Jam Jumbo 500g,Same subcategory,42.0,82.8
8906000000048,Kissan Jam Lite 200g,2,8906000000265,Mapro Jam Jumbo 500g,Same subcategory,62.6,72.74
8906000000048,Kissan Jam Lite 200g,3,8906000000228,Tops Jam Lite 200g,Same subcategory,63.75,64.625
8906000000049,Sofy Sanitary Care Jumbo 30pc,1,8906000000300,Stayfree Sanitary Care Original 15pc,Same subcategory,10.44,85.956
8906000000049,Sofy Sanitary Care Jumbo 30pc,2,8906000000410,Whisper Sanitary Care Premium 15pc,Same subcategory,19.0,77.1
8906000000049,Sofy Sanitary Care Jumbo 30pc,3,8906000000015,Sofy Sanitary Care Premium 30pc,Same subcategory,50.0,66.0
8906000000050,Tops Jam Jumbo 500g,1,8906000000265,Mapro Jam Jumbo 500g,Same subcategory,20.6,84.94
8906000000050,Tops Jam Jumbo 500g,2,8906000000228,Tops Jam Lite 200g,Same subcategory,21.75,76.825
8906000000050,Tops Jam Jumbo 500g,3,8906000000019,Tops Jam Lite 500g,Same subcategory,21.8,68.82
8906000000051,Priya Pickles Jumbo 200g,1,8906000000262,Pachranga Pickles Regular 1kg,Same subcategory,-24.95,84.505
8906000000051,Priya Pickles Jumbo 200g,2,8906000000226,Nilon's Pickles Fresh 500g,Same subcategory,-43.9,74.61
8906000000051,Priya Pickles Jumbo 200g,3,8906000000367,Pachranga Pickles Lite 200g,Same subcategory,49.2,66.08
8906000000052,Harpic Toilet Cleaner Original 1L,1,8906000000316,Harpic Toilet Cleaner Value Pack 1L,Same subcategory,25.85,84.415
8906000000052,Harpic Toilet Cleaner Original 1L,2,8906000000031,Harpic Toilet Cleaner Classic 500ml,Same subcategory,34.75,75.525
8906000000052,Harpic Toilet Cleaner Original 1L,3,8906000000390,Sanifresh Toilet Cleaner Jumbo 1L,Same subcategory,70.2,63.980000000000004
8906000000053,Comfort Fabric Care Lite 1L,1,8906000000394,Domex Toilet Cleaner Value Pack 1L,Same category fallback,1.08,86.892
8906000000053,Comfort Fabric Care Lite 1L,2,8906000000194,Domex Toilet Cleaner Premium 500ml,Same category fallback,-1.35,78.865
8906000000053,Comfort Fabric Care Lite 1L,3,8906000000200,Domex Toilet Cleaner Mini 500ml,Same category fallback,2.37,70.763
8906000000054,Tide Detergent Family Pack 2kg,1,8906000000486,Surf Excel Detergent Jumbo 2kg,Same subcategory,-5.85,86.41499999999999
8906000000054,Tide Detergent Family Pack 2kg,2,8906000000305,Rin Detergent Premium 2kg,Same subcategory,-11.3,77.87
8906000000054,Tide Detergent Family Pack 2kg,3,8906000000407,Surf Excel Detergent Premium 2kg,Same subcategory,42.45,66.755
8906000000055,Amul Butter Lite 100g,1,8906000000142,Gowardhan Butter Mini 100g,Same subcategory,-6.0,86.4
8906000000055,Amul Butter Lite 100g,2,8906000000320,Gowardhan Butter Mini 100g,Same subcategory,-49.0,74.1
8906000000055,Amul Butter Lite 100g,3,8906000000124,Amul Butter Original 100g,Same subcategory,-78.96,63.104
8906000000056,Mother Dairy Curd Jumbo 1kg,1,8906000000027,Mother Dairy Curd Jumbo 1kg,Same subcategory,100.2,76.98
8906000000056,Mother Dairy Curd Jumbo 1kg,2,8906000000462,Gowardhan Curd Mini 1kg,Same subcategory,150.54,63.946
8906000000056,Mother Dairy Curd Jumbo 1kg,3,8906000000057,Amul Curd Regular 400g,Same subcategory,171.3,55
8906000000057,Amul Curd Regular 400g,1,8906000000351,Amul Curd Classic 1kg,Same subcategory,20.5,84.95
8906000000057,Amul Curd Regular 400g,2,8906000000462,Gowardhan Curd Mini 1kg,Same subcategory,-20.76,76.924
8906000000057,Amul Curd Regular 400g,3,8906000000027,Mother Dairy Curd Jumbo 1kg,Same subcategory,-71.1,63.89
8906000000058,Eveready Batteries Premium 4pc,1,8906000000326,Eveready Batteries Jumbo 2pc,Same subcategory,-12.35,85.765
8906000000058,Eveready Batteries Premium 4pc,2,8906000000026,Duracell Batteries Regular 4pc,Same subcategory,-22.44,76.756
8906000000058,Eveready Batteries Premium 4pc,3,8906000000240,Eveready Batteries Original 4pc,Same subcategory,-25.75,68.425
8906000000059,Farm Fresh Eggs Fresh 12pc,1,8906000000047,Farm Fresh Eggs Lite 6pc,Same subcategory,-0.9,86.91
8906000000059,Farm Fresh Eggs Fresh 12pc,2,8906000000485,Suguna Eggs Classic 12pc,Same subcategory,11.45,77.855
8906000000059,Farm Fresh Eggs Fresh 12pc,3,8906000000356,Local Farm Eggs Lite 12pc,Same subcategory,28.1,68.19
8906000000060,Dabur Amla Hair Oil Lite 500ml,1,8906000000204,Bajaj Almond Drops Hair Oil Mini 500ml,Same subcategory,-8.3,86.17
8906000000060,Dabur Amla Hair Oil Lite 500ml,2,8906000000167,Navratna Hair Oil Jumbo 500ml,Same subcategory,-31.55,75.845
8906000000060,Dabur Amla Hair Oil Lite 500ml,3,8906000000468,Parachute Hair Oil Family Pack 200ml,Same subcategory,53.48,65.652
8906000000061,Bourbon Cream Biscuits Jumbo 150g,1,8906000000089,Hide & Seek Cream Biscuits Regular 150g,Same subcategory,-3.13,86.687
8906000000061,Bourbon Cream Biscuits Jumbo 150g,2,8906000000071,Hide & Seek Cream Biscuits Premium 150g,Same subcategory,6.28,78.372
8906000000061,Bourbon Cream Biscuits Jumbo 150g,3,8906000000217,Bourbon Cream Biscuits Classic 100g,Same subcategory,6.88,70.312
8906000000062,Mother Dairy Paneer Value Pack 500g,1,8906000000422,Amul Paneer Original 200g,Same subcategory,-1.4,86.86
8906000000062,Mother Dairy Paneer Value Pack 500g,2,8906000000007,Amul Paneer Lite 200g,Same subcategory,37.8,75.22
8906000000062,Mother Dairy Paneer Value Pack 500g,3,8906000000452,Mother Dairy Paneer Fresh 500g,Same subcategory,81.9,62.81
8906000000063,Parle Small Snacks Classic 100g,1,8906000000477,Haldiram Small Snacks Value Pack 50g,Same subcategory,-51.85,81.815
8906000000063,Parle Small Snacks Classic 100g,2,8906000000352,Parle Small Snacks Family Pack 50g,Same subcategory,-80.68,70.932
8906000000063,Parle Small Snacks Classic 100g,3,8906000000412,Parle Small Snacks Regular 100g,Same subcategory,-127.2,58.28
8906000000064,Kissan Sauces Mini 200g,1,8906000000193,Catch Masala Original 200g,Same category fallback,-13.72,85.628
8906000000064,Kissan Sauces Mini 200g,2,8906000000051,Priya Pickles Jumbo 200g,Same category fallback,-18.82,77.118
8906000000064,Kissan Sauces Mini 200g,3,8906000000155,Everest Masala Classic 200g,Same category fallback,-29.22,68.078
8906000000065,Mother Dairy Milk Mini 1L,1,8906000000270,Dinshaw's Milk Family Pack 1L,Same subcategory,0.9,86.91
8906000000065,Mother Dairy Milk Mini 1L,2,8906000000370,Dinshaw's Milk Lite 500ml,Same subcategory,-1.3,78.87
8906000000065,Mother Dairy Milk Mini 1L,3,8906000000117,Dinshaw's Milk Original 1L,Same subcategory,-1.78,70.822
8906000000066,Bingo Chips Lite 150g,1,8906000000263,Too Yumm Chips Fresh 90g,Same subcategory,1.95,86.805
8906000000066,Bingo Chips Lite 150g,2,8906000000465,Lay's Chips Regular 52g,Same subcategory,-3.8,78.62
8906000000066,Bingo Chips Lite 150g,3,8906000000424,Too Yumm Chips Classic 90g,Same subcategory,-9.0,70.1
8906000000067,Kinley Water Classic 1L,1,8906000000158,Kinley Water Fresh 1L,Same subcategory,0.74,86.926
8906000000067,Kinley Water Classic 1L,2,8906000000110,Bisleri Water Value Pack 1L,Same subcategory,-1.26,78.874
8906000000067,Kinley Water Classic 1L,3,8906000000003,Bailey Water Lite 1L,Same subcategory,-3.39,70.661
8906000000068,Bourbon Cream Biscuits Fresh 150g,1,8906000000355,Treat Cream Biscuits Jumbo 100g,Same subcategory,3.75,86.625
8906000000068,Bourbon Cream Biscuits Fresh 150g,2,8906000000209,Oreo Cream Biscuits Family Pack 100g,Same subcategory,-9.3,78.07
8906000000068,Bourbon Cream Biscuits Fresh 150g,3,8906000000454,Hide & Seek Cream Biscuits Family Pack 100g,Same subcategory,-11.55,69.845
8906000000069,Duracell Batteries Original 4pc,1,8906000000471,Nippo Batteries Classic 4pc,Same subcategory,6.85,86.315
8906000000069,Duracell Batteries Original 4pc,2,8906000000344,Eveready Batteries Regular 4pc,Same subcategory,51.4,73.86
8906000000069,Duracell Batteries Original 4pc,3,8906000000283,Eveready Batteries Lite 2pc,Same subcategory,87.76,62.224000000000004
8906000000070,Amul Butter Jumbo 500g,1,8906000000195,Gowardhan Butter Mini 500g,Same subcategory,-0.32,86.968
8906000000070,Amul Butter Jumbo 500g,2,8906000000079,Britannia Butter Fresh 100g,Same subcategory,-4.85,78.515
8906000000070,Amul Butter Jumbo 500g,3,8906000000500,Britannia Butter Fresh 500g,Same subcategory,-14.55,69.545
8906000000071,Hide & Seek Cream Biscuits Premium 150g,1,8906000000217,Bourbon Cream Biscuits Classic 100g,Same subcategory,0.6,86.94
8906000000071,Hide & Seek Cream Biscuits Premium 150g,2,8906000000375,Oreo Cream Biscuits Original 100g,Same subcategory,0.6,78.94
8906000000071,Hide & Seek Cream Biscuits Premium 150g,3,8906000000131,Oreo Cream Biscuits Fresh 150g,Same subcategory,0.82,70.918
8906000000072,Pantene Shampoo Classic 340ml,1,8906000000400,Pantene Shampoo Regular 80ml,Same subcategory,-3.3,86.67
8906000000072,Pantene Shampoo Classic 340ml,2,8906000000385,Dove Shampoo Lite 650ml,Same subcategory,-50.85,73.91499999999999
8906000000072,Pantene Shampoo Classic 340ml,3,8906000000034,Dove Shampoo Regular 650ml,Same subcategory,-80.4,62.96
8906000000073,Amul Cheese Mini 200g,1,8906000000416,Amul Cheese Premium 200g,Same subcategory,-51.45,81.855
8906000000073,Amul Cheese Mini 200g,2,8906000000036,Amul Cheese Family Pack 400g,Same subcategory,-66.35,72.365
